Isolates,Prediction,Observation,Antibiotic
11657_5#10,S,S,CTZ
11657_5#11,S,S,CTZ
11657_5#12,S,S,CTZ
11657_5#13,S,S,CTZ
11657_5#14,S,S,CTZ
11657_5#15,S,S,CTZ
11657_5#16,S,S,CTZ
11657_5#17,S,S,CTZ
11657_5#18,S,S,CTZ
11657_5#19,S,S,CTZ
11657_5#1,S,S,CTZ
11657_5#20,S,S,CTZ
11657_5#21,S,S,CTZ
11657_5#22,S,S,CTZ
11657_5#23,S,S,CTZ
11657_5#24,R,R,CTZ
11657_5#25,S,S,CTZ
11657_5#26,S,S,CTZ
11657_5#27,S,S,CTZ
11657_5#28,S,S,CTZ
11657_5#29,S,S,CTZ
11657_5#2,S,S,CTZ
11657_5#30,S,S,CTZ
11657_5#31,S,S,CTZ
11657_5#32,S,S,CTZ
11657_5#33,S,S,CTZ
11657_5#34,S,S,CTZ
11657_5#35,S,S,CTZ
11657_5#36,S,S,CTZ
11657_5#37,S,S,CTZ
11657_5#38,S,S,CTZ
11657_5#39,S,S,CTZ
11657_5#3,S,S,CTZ
11657_5#40,R,R,CTZ
11657_5#41,S,S,CTZ
11657_5#42,S,S,CTZ
11657_5#43,S,S,CTZ
11657_5#44,S,S,CTZ
11657_5#46,R,R,CTZ
11657_5#47,S,S,CTZ
11657_5#48,S,S,CTZ
11657_5#49,S,S,CTZ
11657_5#4,S,S,CTZ
11657_5#50,S,S,CTZ
11657_5#51,S,S,CTZ
11657_5#52,R,R,CTZ
11657_5#53,S,S,CTZ
11657_5#54,S,S,CTZ
11657_5#55,S,S,CTZ
11657_5#56,S,S,CTZ
11657_5#57,S,S,CTZ
11657_5#58,S,S,CTZ
11657_5#59,S,S,CTZ
11657_5#5,S,S,CTZ
11657_5#60,S,S,CTZ
11657_5#61,R,R,CTZ
11657_5#62,S,S,CTZ
11657_5#63,S,S,CTZ
11657_5#64,S,S,CTZ
11657_5#65,S,S,CTZ
11657_5#66,S,S,CTZ
11657_5#67,S,S,CTZ
11657_5#68,S,S,CTZ
11657_5#69,S,S,CTZ
11657_5#6,R,R,CTZ
11657_5#70,S,S,CTZ
11657_5#71,S,S,CTZ
11657_5#72,S,S,CTZ
11657_5#73,S,S,CTZ
11657_5#74,S,S,CTZ
11657_5#75,S,S,CTZ
11657_5#76,S,S,CTZ
11657_5#77,S,S,CTZ
11657_5#78,S,S,CTZ
11657_5#79,S,S,CTZ
11657_5#7,S,S,CTZ
11657_5#80,S,S,CTZ
